개방자치단체코드,관리번호,인허가일자,영업상태명,폐업일자,소재지면적,소재지우편번호,도로명우편번호,사업장명,업태구분명,데이터갱신구분,건물소유구분명,공장사무직직원수,공장생산직직원수,공장판매직직원수,급수시설구분명,남성종사자수,다중이용업소여부,데이터갱신시점,도로명주소,등급구분명,보증액,본사직원수,상세영업상태명,상세영업상태코드,시설총규모,여성종사자수,영업상태코드,영업장주변구분명,월세액,위생업태명,전통업소주된음식,전통업소지정번호,전화번호,좌표정보(X),좌표정보(Y),지번주소,홈페이지,최종수정시점
4010000,4010000-101-2020-00557,2020-08-18,폐업,2021-04-12,105.48,429-802,14999,장현식당,한식,I,,,,,,,N,2026-05-02 22:06:23,"경기도 시흥시 능곡군자7길 2, 1층 (군자동)",,,,폐업,02,105.48,,03,,,한식,,,,182790.329283406    ,429328.660942556    ,경기도 시흥시 군자동 213 ,,2021-04-12 09:29:14
4010000,4010000-101-1996-00129,1996-11-27,폐업,2001-08-31,29.69,429-450,,석산자연석돌구이,한식,I,,,,,상수도전용,0,N,2026-05-02 22:03:50,,,,,폐업,02,29.69,0,03,아파트지역,,한식,,,0314321800,,,"경기도 시흥시 정왕동 9999 시화지구58-8-41영남3차@상가지하108,109,110 ",,2001-07-25 00:00:00
4010000,4010000-101-2002-00074,2002-03-04,폐업,2017-10-16,40.98,429-881,15069,김밥천국,김밥(도시락),I,,,,,,0,N,2026-05-02 22:04:24,"경기도 시흥시 도일로124번길 2, 104호 (거모동)",,,,폐업,02,40.98,0,03,,,김밥(도시락),,,0314937830,180804.112612504    ,426612.198979482    ,경기도 시흥시 거모동 1656-8 104호 ,,2017-10-18 10:56:09
4010000,4010000-101-2018-00043,2018-02-01,폐업,2022-03-14,27.01,429-240,14995,능곡사우나내식당,한식,I,,,,,,,N,2026-05-02 22:06:08,"경기도 시흥시 장현능곡로 192, 6층 일부호 (능곡동)",,,,폐업,02,27.01,,03,,,한식,,,,183217.117780498    ,429702.394926976    ,경기도 시흥시 능곡동 735 ,,2022-03-14 14:12:58
4010000,4010000-101-2020-00365,2020-06-24,폐업,2025-04-14,30.00,429-300,14986,네네호프,정종/대포집/소주방,I,,,,,,,N,2026-05-02 22:06:22,"경기도 시흥시 수풀안길 19-27, 104호 (조남동, 엘에이치네이처하임)",,,,폐업,02,30,,03,,,정종/대포집/소주방,,,,187945.418070117    ,430895.608223607    ,경기도 시흥시 조남동 720 엘에이치네이처하임 ,,2025-04-14 16:18:47
4010000,4010000-101-2001-00101,2001-05-31,폐업,2005-05-20,90.30,429-030,,한계령가든,한식,I,,,,,상수도전용,0,N,2026-05-02 22:04:17,,,,,폐업,02,90.3,0,03,기타,,한식,,,0313151336,179104.644705615    ,433725.962295026    ,경기도 시흥시 방산동 718-2 ,,2002-01-23 00:00:00
4010000,4010000-101-2006-00024,2006-02-01,폐업,2006-10-31,29.05,429-861,,싸갈까먹고갈까,한식,I,,,,,,,N,2026-05-02 22:05:22,,,,,폐업,02,29.05,,03,,,한식,,,0314315116,176532.039807867    ,427010.18538296     ,경기도 시흥시 정왕동 1737-7 106호 ,,2006-02-01 00:00:00
4010000,4010000-101-2001-00128,2001-06-15,폐업,2007-03-05,42.13,429-831,,감악산매운갈비찜,한식,I,,,,,상수도전용,0,N,2026-05-02 22:04:17,,,,,폐업,02,42.13,0,03,기타,,한식,,,0313179262,181331.808668648    ,437287.547587187    ,경기도 시흥시 신천동 781-9 ,,2006-11-02 00:00:00
4010000,4010000-101-2007-00404,2007-09-10,영업/정상,,50.50,429-858,15062,한우곱창,한식,I,,,,,,,N,2026-05-02 22:05:28,경기도 시흥시 평안상가2길 12 (정왕동),,,,영업,01,50.5,,01,,,한식,,,0314888185,177627.025545284    ,426229.932450505    ,경기도 시흥시 정왕동 1624-2 ,,2021-06-29 10:50:03
4010000,4010000-101-2022-00855,2022-11-23,영업/정상,,105.80,429-320,14985,리네,기타,I,,,,,,,N,2026-05-02 22:06:38,"경기도 시흥시 배미골길 10-13, 1층 (목감동)",,,,영업,01,105.8,,01,,,기타,,,,187908.775679587    ,431212.417641927    ,경기도 시흥시 목감동 420-2 ,,2022-11-23 13:29:48
